Date,State,District,Pincode,Bio_age_5_17,Bio_age_17+
01-03-2025,Uttar Pradesh,Varanasi,221210,41,15
01-03-2025,Tamil Nadu,Thiruvarur,609504,49,26
01-03-2025,Odisha,Jagatsinghpur,754108,16,54
01-03-2025,Haryana,Jhajjar,124106,165,309
01-03-2025,Kerala,Alappuzha,690517,40,73
01-03-2025,Kerala,Ernakulam,683101,47,121
01-03-2025,Himachal Pradesh,Kangra,176059,65,67
01-03-2025,West Bengal,Bankura,722137,166,225
01-03-2025,Karnataka,Mysuru,570015,44,43
01-03-2025,Andhra Pradesh,Anantapur,515501,18,49
01-03-2025,Karnataka,Hassan,573130,47,67
01-03-2025,Tamil Nadu,Tiruvannamalai,604501,110,70
01-03-2025,Karnataka,Chikkamagaluru,577134,33,38
01-03-2025,Odisha,Sundergarh,769014,25,55
01-03-2025,Maharashtra,Ahmadnagar,413725,78,127
01-03-2025,Rajasthan,Nagaur,341517,47,94
01-03-2025,Himachal Pradesh,Kangra,176087,32,48
01-03-2025,Assam,Lakhimpur,784165,37,34
01-03-2025,Gujarat,Kheda,387560,97,77
01-03-2025,Andhra Pradesh,Guntur,522325,46,10
01-03-2025,Tamil Nadu,Kancheepuram,603402,60,14
01-03-2025,Uttarakhand,Pauri Garhwal,246162,29,43
01-03-2025,Haryana,Jhajjar,124404,37,35
01-03-2025,West Bengal,East Midnapore,721455,10,32
01-03-2025,Karnataka,Chikkaballapur,561212,109,93
01-03-2025,Karnataka,Udupi,574118,39,28
01-03-2025,Uttarakhand,Pauri Garhwal,246163,14,23
01-03-2025,Karnataka,Chitradurga,577558,40,40
01-03-2025,West Bengal,East Midnapore,721442,30,43
01-03-2025,Kerala,Kasaragod,671313,52,77
01-03-2025,Karnataka,Bengaluru,560063,26,29
01-03-2025,Tamil Nadu,Sivaganga,630558,35,59
01-03-2025,Rajasthan,Jodhpur,342011,53,91
01-03-2025,Kerala,Thiruvananthapuram,695603,42,112
01-03-2025,Maharashtra,Sindhudurg,416632,11,32
01-03-2025,Karnataka,Kodagu,571247,25,24
01-03-2025,Odisha,Sundergarh,770076,23,23
01-03-2025,Tamil Nadu,Kanyakumari,629167,27,9
01-03-2025,Andhra Pradesh,Karimnagar,505450,11,27
01-03-2025,West Bengal,Purba Bardhaman,713152,10,43
01-03-2025,Tamil Nadu,Mayiladuthurai,609302,10,0
01-03-2025,Maharashtra,Amravati,444709,492,1083
01-03-2025,Uttarakhand,Udham Singh Nagar,244712,371,326
01-03-2025,Bihar,Gaya,824201,1940,1999
01-03-2025,West Bengal,North 24 Parganas,743263,226,411
01-03-2025,Bihar,Purnia,853204,219,298
01-03-2025,Maharashtra,Nashik,423205,280,824
01-03-2025,Madhya Pradesh,Alirajpur,457893,265,441
01-03-2025,Gujarat,Gandhinagar,382721,700,831
01-03-2025,Bihar,Samastipur,848236,289,387
01-03-2025,Rajasthan,Jhalawar,326036,135,217
01-03-2025,Uttar Pradesh,Jalaun,285204,572,166
01-03-2025,Maharashtra,Ahmadnagar,413720,61,79
01-03-2025,Rajasthan,Ajmer,305601,196,165
01-03-2025,Jammu and Kashmir,Srinagar,190008,63,118
01-03-2025,Tamil Nadu,Viluppuram,604207,61,74
01-03-2025,Maharashtra,Solapur,413252,46,153
01-03-2025,Madhya Pradesh,Ujjain,456440,88,178
